Date,COLD,EGP,FR,ILPT,LINE,LXP,PLD,PLYM,REXR,SPY,STAG,TRNO,VNQ
2019-06-20,27.2873477935791,97.89661407470703,31.383066177368164,16.19493293762207,,35.47929000854492,69.009765625,13.222832679748535,34.27553939819336,267.248779296875,23.811153411865234,40.876712799072266,70.9054946899414
2019-06-21,27.16741943359375,96.57964324951172,30.938692092895508,16.00579261779785,,35.189666748046875,68.04754638671875,13.708394050598145,33.98322677612305,266.8603820800781,23.569732666015625,40.32171630859375,69.90608215332031
2019-06-24,27.015512466430664,96.15718078613281,30.72908592224121,15.926987648010254,,34.97243881225586,67.43678283691406,13.272089004516602,34.01663589477539,266.53369140625,23.358470916748047,40.46467590332031,69.66590118408203
2019-06-25,26.623746871948242,95.66020965576172,30.544620513916016,16.179176330566406,,34.538002014160156,66.75070190429688,12.948376655578613,33.79949951171875,263.91943359375,22.988779067993164,40.145118713378906,68.63548278808594
2019-06-26,25.920177459716797,93.1338882446289,30.09186363220215,15.87182331085205,,33.379486083984375,65.3785400390625,13.039861679077148,33.14805221557617,263.6562805175781,22.445556640625,39.6910285949707,67.26416015625
2019-06-27,26.081073760986328,94.84284210205078,30.404083251953125,16.02943992614746,,34.04949951171875,66.39928436279297,13.675516128540039,33.70604705810547,264.5911865234375,22.86901092529297,40.363773345947266,68.13007354736328
2019-06-28,26.081073760986328,96.68521118164062,31.003211975097656,16.407716751098633,,34.45222473144531,67.0184555053711,13.603691101074219,33.873863220214844,265.95269775390625,22.906879425048828,41.238311767578125,68.36474609375
2019-07-01,26.837282180786133,96.78520965576172,31.02853775024414,16.439239501953125,,34.12272644042969,66.86785888671875,13.187108039855957,33.86548614501953,268.36724853515625,22.831132888793945,40.977630615234375,68.33344268798828
2019-07-02,27.464771270751953,98.14405822753906,31.39984130859375,16.54956817626953,,34.48884582519531,68.26509857177734,13.416943550109863,34.64582443237305,269.06610107421875,23.141708374023438,41.65876770019531,69.52239990234375
2019-07-03,27.673934936523438,99.30281066894531,31.67831039428711,16.927845001220703,,34.96480178833008,69.11015319824219,13.187108039855957,34.81364440917969,271.2172546386719,23.278064727783203,42.00522232055664,70.35153198242188
2019-07-05,27.738292694091797,99.21943664550781,31.66143226623535,17.006650924682617,,34.74513244628906,68.96793365478516,13.172743797302246,34.86397933959961,270.9085998535156,23.187158584594727,42.013671875,70.10122680664062
2019-07-08,27.593486785888672,99.67794036865234,31.67831039428711,16.99876594543457,,34.85497283935547,68.86752319335938,13.553413391113281,34.79686737060547,269.42010498046875,23.179584503173828,41.88691711425781,70.35153198242188
2019-07-09,27.762428283691406,99.79464721679688,31.813322067260742,17.006650924682617,,34.96480178833008,69.12687683105469,13.697063446044922,35.199615478515625,269.7559814453125,23.467422485351562,42.14888000488281,70.58618927001953
2019-07-10,28.03594398498535,100.46989440917969,32.04116439819336,16.91996192932129,,35.14786911010742,69.46154022216797,13.517500877380371,35.501686096191406,271.04486083984375,23.528038024902344,42.740386962890625,70.99293518066406
